"Rank MSA Population","Name of MSA","Population 2021 Est","Population 2020","Population 2010","Name of CSA","Number of lots available on Zillow","Price of lot for 1%ile by price","Sqft of lot for 1% by price","Lot link for 1%ile by price","Sqft of lot for 10%ile by sqft","Lot Link for 10%ile by size","Number of 1b+1b apartments available on Zillow","Price of 1b+1b apartment for 1%ile by price","Sqft of 1b+1b apartment 1b+1b for 1%ile by price","Apartment 1b+1b link",hud_areaname,"Median rent 1bedroom FY-2023","hud_areaname fy2013","Median rent 1bedroom FY-2013","Rank City Population","Name of Core City","Name of State","population 2021 est","population 2020","Population 2010 ","Area sqkm","Rank MSA GDP","Name of MSA","GDP MSA 2018 in million $","GDP MSA 2017 in million $","State of Core City","MSA median lot sqft","MSA median price per sqft","CoC Number","CoC Name","CoC Category","Overall Homeless, 2019","Unsheltered Homeless, 2019","Urban Area from INRIX","Last Mile speed (mph) 2021","Hours Lost to congestion 2021","Hours Lost to congestion (Pre-covid)"
1,"New York-Newark-Jersey City NY-NJ-PA MSA",19768458,20140470,18897109,"New York-Newark NY-NJ-CT-PA CSA",130,75000,1615,https://www.zillow.com/homedetails/3048A-Bruner-Ave-Bronx-NY-10469/2062341584_zpid/,1873,https://www.zillow.com/homedetails/1917-Monterey-Ave-Bronx-NY-10457/2082130098_zpid/,6214,1530,750,https://www.zillow.com/homedetails/86-22-Dongan-Ave-1J-Elmhurst-NY-11373/2061513268_zpid/,"New York, NY HUD Metro FMR Area",2323,"New York, NY HUD Metro FMR Area",1369,1,"New York [d]","New York",8467513,8804190,8175133,778.3,1,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",1772319,1698122,"New York-Newark-Jersey City NY-NJ-PA",8276.4,81.83,NY-600,"New York City CoC","Major Cities",78604,3622,"New York City NY",12,102,139.72602739726028
2,"Los Angeles-Long Beach-Anaheim CA MSA",12997353,13200998,12828837,"Los Angeles-Long Beach CA CSA",249,10000,2471,https://www.zillow.com/homedetails/0-N-Beverly-Gln-Sherman-Oaks-CA-91423/2067916791_zpid/,3409,https://www.zillow.com/homedetails/9818-Redmont-Ave-Tujunga-CA-91042/250217494_zpid/,2079,1550,700,https://www.zillow.com/homedetails/244-S-Reno-St-APT-2-Los-Angeles-CA-90057/2100367304_zpid/,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",1925,"Los Angeles-Long Beach, CA HUD Metro FMR Area",1195,2,"Los Angeles",California,3849297,3898747,3792621,1216,2,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",1047661,995114,"Los Angeles-Long Beach-Anaheim CA",7211.5,156.46,CA-600,"Los Angeles City & County CoC","Major Cities",56257,42471,"Los Angeles CA",22,62,103.33333333333334
3,"Chicago-Naperville-Elgin IL-IN-WI MSA",9509934,9618502,9461105,"Chicago-Naperville IL-IN-WI CSAn",265,3000,3125,https://www.zillow.com/homedetails/7116-S-Artesian-Ave-Chicago-IL-60629/3957357_zpid/,2400,https://www.zillow.com/homedetails/551-W-Cullerton-St-Chicago-IL-60616/158858802_zpid/,2905,845,800,https://www.zillow.com/homedetails/60-N-Central-Ave-Chicago-IL-60644/2080611630_zpid/,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",1364,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",872,3,Chicago,Illinois,2696555,2746388,2695598,589.7,3,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",689464,659855,"Chicago-Naperville-Elgin IL-IN-WI",8276.4,42.27,IL-510,"Chicago CoC","Major Cities",5290,1260,"Chicago IL",15,104,144.44444444444446
4,"Dallas-Fort Worth-Arlington TX MSA",7759615,7637387,6366542,"Dallas-Fort Worth TX-OK CSA",210,29000,4443,https://www.zillow.com/homedetails/3933-Polly-St-Dallas-TX-75210/96527499_zpid/,4530,https://www.zillow.com/homedetails/3927-Polly-St-Dallas-TX-75210/96529752_zpid/,441,838,600,https://www.zillow.com/homedetails/9737-Forest-Ln-353-Dallas-TX-75243/2065628637_zpid/,"Dallas, TX HUD Metro FMR Area",1440,"Dallas, TX HUD Metro FMR Area",749,9,Dallas,Texas,1288457,1304379,1197816,879.6,6,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",512509,482218,"Dallas-Fort Worth-Arlington TX",8712,53.41,TX-600,"Dallas City & County, Irving CoC","Major Cities",4538,1452,"Dallas TX",19,44,63.76811594202899
5,"Houston-The Woodlands-Sugar Land TX MSA",7206841,7122240,5920416,"Houston-The Woodlands TX CSA",500,30000,4033,https://www.zillow.com/homedetails/0-Ambrose-St-Houston-TX-77045/2109697884_zpid/,3859,https://www.zillow.com/homedetails/3521-Cobb-St-Houston-TX-77004/27746194_zpid/,705,725,650,https://www.zillow.com/homedetails/4712-Polk-St-5-Houston-TX-77023/84008895_zpid/,"Houston-The Woodlands-Sugar Land, TX HUD Metro FMR Area",1216,"Houston-Baytown-Sugar Land, TX HUD Metro FMR Area",765,4,Houston,Texas,2288250,2304580,2099451,1658.6,7,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",478778,447521,"Houston-The Woodlands-Sugar Land TX",8174,50.05,TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC","Major Cities",3938,1614,"Houston TX",19,58,81.69014084507043
6,"Washington-Arlington-Alexandria DC-VA-MD-WV MSA",6356434,6385162,5649540,"Washington-Baltimore-Arlington DC-MD-VA-WV-PA CSA",19,100000,1782,https://www.zillow.com/homedetails/51-Street-NE-Washington-DC-20019/2115168986_zpid/,983,https://www.zillow.com/homedetails/1300-Nw-W-Washington-DC-20057/2061797017_zpid/,731,1182,800,https://www.zillow.com/homedetails/1633-Trinidad-Ave-NE-APT-2-Washington-DC-20002/2098053549_zpid/,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",1740,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",1292,23,"Washington [k]","District of Columbia",670050,689545,601723,158.2,5,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)",540684,515553,"Washington-Arlington-Alexandria DC-VA-MD-WV",13503.6,49.73,DC-500,"District of Columbia CoC","Major Cities",6521,608,"Washington DC",14,44,125.71428571428572
7,"Philadelphia-Camden-Wilmington PA-NJ-DE-MD MSA",6228601,6245051,5965343,"Philadelphia-Reading-Camden PA-NJ-DE-MD CSA",442,15000,1311,https://www.zillow.com/homedetails/623-N-Creighton-St-Philadelphia-PA-19131/10441870_zpid/,634,https://www.zillow.com/homedetails/3009-N-Taney-St-Philadelphia-PA-19132/10379775_zpid/,1310,800,700,https://www.zillow.com/homedetails/7911-Cottage-St-SIDE-C-Philadelphia-PA-19136/2104236928_zpid/,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1314,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",929,6,"Philadelphia [e]",Pennsylvania,1576251,1603797,1526006,348.1,9,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",444148,422539,"Philadelphia-Camden-Wilmington PA-NJ-DE-MD",10890,33.65,PA-500,"Philadelphia CoC","Major Cities",5735,973,"Philadelphia PA",12,90,142.85714285714286
8,"Atlanta-Sandy Springs-Alpharetta GA MSA",6144050,6089815,5286728,"Atlanta–Athens-Clarke County–Sandy Springs GA-AL CSA",174,37500,61768,https://www.zillow.com/homedetails/0-Fairfield-Pl-NW-Atlanta-GA-30314/2062302556_zpid/,3798,https://www.zillow.com/homedetails/525-University-Ave-SW-Atlanta-GA-30310/35890890_zpid/,427,1200,535,https://www.zillow.com/homedetails/512-Lindsay-St-NW-6-Atlanta-GA-30314/2061544680_zpid/,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",1489,"Atlanta-Sandy Springs-Marietta, GA HUD Metro FMR Area",784,38,Atlanta,Georgia,496461,498715,420003,350.4,10,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",397261,385542,"Atlanta-Sandy Springs-Alpharetta GA",20037.6,22.07,GA-500,"Atlanta CoC","Major Cities",3217,719,"Atlanta GA",19,53,82.8125
9,"Miami-Fort Lauderdale-Pompano Beach FL MSA",6091747,6138333,5564635,"Miami-Port St. Lucie-Fort Lauderdale FL CSA",85,69000,2679,https://www.zillow.com/homedetails/17-17XX-Northwest-Blvd-81-Miami-FL-33126/2061536807_zpid/,4356,https://www.zillow.com/homedetails/160-NE-60th-St-Miami-FL-33137/43807362_zpid/,590,1400,600,https://www.zillow.com/homedetails/542-NW-8th-St-APT-7-Miami-FL-33136/2061638297_zpid/,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",1670,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",945,44,Miami,Florida,439890,442241,399457,93.2,12,"Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)",354740,344882,"Miami-Fort Lauderdale-Pompano Beach FL",8431,98.55,FL-600,"Miami-Dade County CoC","Major Cities",3472,1008,"Miami FL",19,66,81.48148148148148
10,"Phoenix-Mesa-Chandler AZ MSA",4946145,4845832,4192887,"Phoenix-Mesa AZ CSA",122,58450,3049,https://www.zillow.com/homedetails/1232-S-13th-Ave-LOT-40-Phoenix-AZ-85007/2089233156_zpid/,6098,https://www.zillow.com/homedetails/1228-S-10th-Ave-10-Phoenix-AZ-85007/2061756407_zpid/,509,899,400,https://www.zillow.com/homedetails/2537-E-Willetta-St-APT-2-Phoenix-AZ-85008/2098394201_zpid/,"Phoenix-Mesa-Scottsdale, AZ MSA",1584,"Phoenix-Mesa-Glendale, AZ MSA",748,5,Phoenix,Arizona,1624569,1608139,1445632,1341.6,16,"Phoenix-Mesa-Scottsdale, AZ (Metropolitan Statistical Area)",255211,242951,"Phoenix-Mesa-Chandler AZ",7985,72.7,AZ-502,"Phoenix, Mesa/Maricopa County CoC","Major Cities",6614,3188,"Phoenix AZ",20,21,37.49999999999999
